Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
034220,LG디스플레이,디스플레이패널,15340,23.21,19.19,3.5,49.0,33.86,26.71,76700,◎ 강세
088350,한화생명,생명보험,5490,11.47,14.26,7.26,64.4,7.44,18.73,47682,◎ 강세
003230,삼양식품,식품,1439000,13.84,14.75,3.26,56.3,27.84,17.11,108400,◎ 강세
086280,현대글로비스,항공화물운송과물류,263000,14.1,19.82,2.18,60.4,11.38,16.28,197250,◎ 강세
000270,기아,자동차,178100,13.01,19.37,1.57,65.4,9.32,14.58,695326,◎ 강세
005387,현대차2우B,자동차,286000,11.5,19.42,1.63,67.6,8.09,13.13,99997,◎ 강세
036570,NC,게임엔터테인먼트,279000,10.28,12.27,2.15,52.2,17.41,12.43,60108,◎ 강세
005385,현대차우,자동차,284000,10.29,17.36,1.85,67.3,8.04,12.14,66288,◎ 강세
180640,한진칼,항공사,123100,8.17,10.21,3.04,60.3,53.45,11.22,82184,○ 양호
282330,BGF리테일,백화점과일반상점,146000,9.04,11.88,1.54,63.6,12.92,10.58,25235,○ 양호
